,amount_of_feats_to_reg,corr_cutoff_bound,linear_reg_to,next_predictor_provider,order,req_neighs,Rm_mape,Rm_r2,Rm_missing_from_test,Rm_missing,Rp02_mape,Rp02_r2,Rp02_missing_from_test,Rp02_missing,A5_mape,A5_r2,A5_missing_from_test,A5_missing,HB_mape,HB_r2,HB_missing_from_test,HB_missing,K_mape,K_r2,K_missing_from_test,K_missing,avg_r2,avg_mape,missing_all,missing_test_percent
45,1,0.9,0.85,dectree,2,5,5.129877166703821,0.8020784241557198,1,26.0,7.35614024587858,0.7660828872496411,1,70.0,13.685896804857755,0.5923607994999736,15,158.0,7.252170155277719,0.6578105202483655,6,30.0,20.117221089687842,0.86077812202376,7,139.0,0.735822150635492,10.708261092481143,423.0,0.3488372093023256
95,2,0.85,0.85,dectree,2,20,4.820158551851116,0.730791822762976,7,176.0,7.531893961990649,0.7821735160914449,2,166.0,21.609131138180434,0.6784551530186274,17,278.0,5.875398547470172,0.8430692253830715,7,149.0,14.111992059970884,,10,328.0,,10.78971485189265,1097.0,0.5
86,2,0.85,0.85,lin,1,20,4.039856735111962,0.8797834789777282,8,98.0,6.665507411079999,0.8242609924235046,7,126.0,12.41566420404188,0.8733740924111553,11,99.0,16.499358506380975,-3.3855775140488484,4,69.0,14.413204522491569,0.8837179918714818,7,145.0,0.015111808327004294,10.806718275821277,537.0,0.43023255813953487
111,2,0.9,0.85,lin,2,5,3.611257691723037,0.9131449920576881,10,165.0,6.810067744950249,0.7916969079592149,5,190.0,25.395816934858885,0.6230295806604806,18,279.0,4.6798972694028755,0.925005372337322,8,154.0,14.111992059970884,,10,304.0,,10.921806340181186,1092.0,0.5930232558139535
99,2,0.9,0.7,lin,2,5,3.611257691723037,0.9131449920576881,10,165.0,6.810067744950249,0.7916969079592149,5,190.0,25.395816934858885,0.6230295806604806,18,279.0,4.6798972694028755,0.925005372337322,8,154.0,14.111992059970884,,10,304.0,,10.921806340181186,1092.0,0.5930232558139535
105,2,0.9,0.7,dectree,2,5,3.611257691723037,0.9131449920576881,10,165.0,6.810067744950249,0.7916969079592149,5,190.0,25.395816934858885,0.6230295806604806,18,279.0,4.6798972694028755,0.925005372337322,8,154.0,14.111992059970884,,10,304.0,,10.921806340181186,1092.0,0.5930232558139535
80,2,0.85,0.7,dectree,1,20,3.5347552534868725,0.9152342340124383,10,161.0,6.34392497626566,0.802765029870413,5,185.0,26.484892699232237,0.5505210694477571,18,279.0,4.428071146324192,0.9295952348189074,8,150.0,14.111992059970884,,10,301.0,,10.980727227055969,1076.0,0.5930232558139535
75,2,0.85,0.7,lin,2,5,3.5347552534868725,0.9152342340124383,10,161.0,6.34392497626566,0.802765029870413,5,185.0,26.484892699232237,0.5505210694477571,18,279.0,4.428071146324192,0.9295952348189074,8,150.0,14.111992059970884,,10,301.0,,10.980727227055969,1076.0,0.5930232558139535
88,2,0.85,0.85,lin,2,10,3.5347552534868725,0.9152342340124383,10,161.0,6.34392497626566,0.802765029870413,5,185.0,26.484892699232237,0.5505210694477571,18,279.0,4.428071146324192,0.9295952348189074,8,150.0,14.111992059970884,,10,301.0,,10.980727227055969,1076.0,0.5930232558139535
61,1,0.95,0.85,lin,1,10,5.076579379386326,0.8750050414588637,5,55.0,5.541482060011827,0.8474541335352854,5,68.0,7.8335430331187474,0.94217665380197,19,280.0,6.243507695891013,0.7849262174251225,10,53.0,30.372328492015647,0.8674769805514386,9,325.0,0.8634078053545361,11.013488132084712,781.0,0.5581395348837209
